Study_ID,time_of_followup_from_loading,implant_length,group,n,mean_mbl,sd_mbl
1,60,long,long_grafted_maxilla,17,1.73,0.12
W2092702732,12,short,short_ungrafted_maxilla,64,0.97,0.449
W2092702732,12,long,long_ungrafted_maxilla,54,0.87,0.375
W2092702732,36,short,short_ungrafted_maxilla,23,1.25,0.502
W2092702732,36,long,long_ungrafted_maxilla,32,0.98,0.375
W2472880666,12,short,short_ungrafted_maxilla,45,0.146,0.099
W2472880666,12,long,long_ungrafted_maxilla,43,0.21,0.114
W2472880666,36,short,short_ungrafted_maxilla,44,0.201,0.118
W2472880666,36,long,long_ungrafted_maxilla,43,0.273,0.135
W2946709552,12,short,short_ungrafted_maxilla,74,0.51,0.23
W2946709552,12,long,long_ungrafted_maxilla,73,0.52,0.26
W3129174852,36,short,short_ungrafted_maxilla,67,0.53,0.35
W3129174852,36,long,long_ungrafted_maxilla,70,0.53,0.28
W4283588255,42.1,short,short_ungrafted_maxilla,97,0.7,0.72
W4283588255,32.9,long,long_ungrafted_maxilla,222,0.96,0.91
felice-crestal-sinuslift,0,long,long_ungrafted_maxilla,10,0.45,0.14
felice-crestal-sinuslift,12,long,long_ungrafted_maxilla,10,0.95,0.24
felice-crestal-sinuslift,0,short,short_ungrafted_maxilla,10,0.39,0.2
felice-crestal-sinuslift,12,short,short_ungrafted_maxilla,10,0.78,0.16
felice-crestal-sinuslift,36,short,short_ungrafted_maxilla,10,0.89,0.25
felice-crestal-sinuslift,36,long,long_ungrafted_maxilla,8,1.08,0.29
W2176962321,3,short,short_ungrafted_mandible,40,0.58,0.11
W2176962321,6,short,short_ungrafted_mandible,40,0.64,0.38
W2176962321,12,short,short_ungrafted_mandible,40,0.71,0.11
W2176962321,3,long,long_ungrafted_mandible,20,0.85,0.23
W2176962321,6,long,long_ungrafted_mandible,20,0.86,0.56
W2176962321,12,long,long_ungrafted_mandible,20,0.89,0.23
W2904818928,4,short,short_ungrafted_mandible,23,0.28,0.29
W2904818928,12,short,short_ungrafted_mandible,23,0.33,0.47
W2904818928,4,long,long_ungrafted_mandible,23,0.25,0.25
W2904818928,12,long,long_ungrafted_mandible,23,0.26,0.27
guida-fullarch-mandible,0,long,long_ungrafted_mandible,75,0.31,0.3
guida-fullarch-mandible,0,short,short_ungrafted_mandible,75,0.26,0.23
guida-fullarch-mandible,12,long,long_ungrafted_mandible,75,0.28,0.31
guida-fullarch-mandible,12,short,short_ungrafted_mandible,75,0.27,0.29
guida-fullarch-mandible,36,long,long_ungrafted_mandible,70,0.25,0.19
guida-fullarch-mandible,36,short,short_ungrafted_mandible,70,0.36,0.35
guida-fullarch-mandible,60,long,long_ungrafted_mandible,70,0.4,0.23
guida-fullarch-mandible,60,short,short_ungrafted_mandible,65,0.3,0.31
zurich-6v10,36,short,short_ungrafted_mixed,40,-0.19,0.62
zurich-6v10,36,long,long_ungrafted_mixed,38,-0.33,0.71
W3172979183,0,short,short_ungrafted_maxilla,24,0.17,0.356
W3172979183,0,long,long_ungrafted_maxilla,24,0.465,0.495
W3172979183,4,short,short_ungrafted_maxilla,21,0.865,0.756
W3172979183,4,long,long_ungrafted_maxilla,23,1.385,1.047
W3172979183,6,short,short_ungrafted_maxilla,21,0.905,0.654
W3172979183,6,long,long_ungrafted_maxilla,23,1.275,0.553
W3172979183,12,short,short_ungrafted_maxilla,21,0.815,0.611
W3172979183,12,long,long_ungrafted_maxilla,23,1.285,0.628
W4402521422,0,long,long_ungrafted_mandible,15,0.475,0.554
W4402521422,0,short,short_ungrafted_mandible,15,0.45,0.437
W4402521422,12,long,long_ungrafted_mandible,15,0.39,0.504
W4402521422,12,short,short_ungrafted_mandible,15,0.245,0.537
tay_usporedba_osteoimuno,36,short,short_ungrafted_mandible,30,0.125,0.515
tay_usporedba_osteoimuno,36,long,long_ungrafted_mandible,30,0.34,0.608
